"Prénom","Nom","Genre","Rôles","Responsabilités","Arrondissement","Nom du district","Nom du parti","Adresse ligne 1 (Hôtel de Ville)","Adresse ligne 2 (Hôtel de Ville)","Localité (Hôtel de Ville)","Province (Hôtel de Ville)","Code postal (Hôtel de Ville)","Adresse ligne 1 (Arrondissement)","Adresse ligne 2 (Arrondissement)","Localité (Arrondissement)","Province (Arrondissement)","Code postal (Arrondissement)","Téléphone (Arrondissement)","Téléphone (Hôtel de Ville)","Télécopieur","Courriel","URL d'une photo","URL source","Poste"
"François","LIMOGES","Monsieur","Conseiller de la ville; Membre du conseil d'agglomération et porte-parole d'assemblée; Leader de la majorité; Vice-président de la Commission de la présidence du conseil; Membre de la Communauté métropolitaine de Montréal; Membre du Comité d'audit de la Ville de Montréal (Comité de vérification élargi)",,"Rosemont-La Petite-Patrie","Saint-Édouard","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","5650, rue D’Iberville","2e étage","Montréal","Québec","H2G 2B3","514 872-8234",,"514 868-3932","francois.limoges@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/d6aybnts1cfya02ueepi.jpg","https://montreal.ca/elus/francois-limoges ","13,10"
"Fanny","MAGINI","Madame","Conseillère d'arrondissement; Membre de la Commission sur le développement économique et urbain et l'habitation; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs; Membre de la Commission sur l’inspecteur général",,"Outremont","Jeanne-Sauvé","Projet Montréal - Équipe Valérie Plante",,,,,,"543, ch. de la Côte-Ste-Catherine",,"Outremont","Québec","H2V 4R2",,,"514 495-6290","fanny.magini@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/zcv6wcou69uly4xa3ms4.jpg","https://montreal.ca/elus/fanny-magini ","9,40"
"Suzanne","MARCEAU","Madame","Conseillère d'arrondissement",,"Ile-Bizard - Sainte-Geneviève","Sainte-Geneviève","Ensemble Montréal",,,,,,"350, montée de l'Église",,"L'Île-Bizard ","Québec","H9C 1G9","514 620-6448",,"514 620-8198","suzanne.marceau@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/kmvdcqpcgb7yexrejxbo.jpg","https://montreal.ca/elus/suzanne-marceau ","6,40"
"Normand","MARINACCI","Monsieur","Maire d'arrondissement; Membre du conseil d'agglomération; Membre de la Commission de la présidence du conseil; Membre de la Communauté métropolitaine de Montréal
",,"Ile-Bizard - Sainte-Geneviève",,"Projet Montréal - Équipe Valérie Plante",,,,,,"350, montée de l'Église",,"L'Île-Bizard ","Québec","H9C 1G9","514 620-6448; 514 744-3919",,"514 620-8198","normand.marinacci@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/v0g0tu1cmmzeb4ucuke6.jpg","https://montreal.ca/elus/normand-marinacci ","6,00"
"Kristine","MARSOLAIS","Madame","Conseillère d'arrondissement",,"Anjou","Centre","Équipe Anjou",,,,,,"7701 Boul Louis-H.-Lafontaine",,"Anjou","Québec","H1K 4B9 ","514 493-8085",,"514 493-8013","kristine.marsolais@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/o6hofvkjacx42huzcqqt.jpg","https://montreal.ca/elus/kristine-marsolais ","2,30"
"Marie-Andrée","MAUGER","Madame","Conseillère d'arrondissement; Membre de la Commission sur les finances et l'administration; Vice-présidente de la Commission sur l'inspecteur général                                                                                                            ",,"Verdun","Desmarchais-Crawford","Projet Montréal - Équipe Valérie Plante",,,,,,"4555, rue de Verdun",,"Verdun","Québec","H4G 1M4","514 765-7010",,"514 765-7013","marie-andree.mauger@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/vi6r1dr9uj62lnzlnrso.jpg","https://montreal.ca/elus/marie-andree-mauger ","17,22"
"Sophie","MAUZEROLLE","Madame","Conseillère de la ville; Membre du comité exécutif; Membre de la Commission sur les finances et l'administration                                                                ","Urbanisme; Office de consultation publique de Montréal, Stratégie d'électrification","Ville-Marie","Sainte-Marie","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","800, boul. De Maisonneuve Est","17e étage","Montréal","Québec","H2L 4L8","514 868-5167","514 872-0714","514 872-8347","sophie.mauzerolle@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/kb4q0agu88wgx3y3l8jm.jpg","https://montreal.ca/elus/sophie-mauzerolle ","18,30"
"Peter","MCQUEEN","Monsieur","Conseiller de la ville; Membre du conseil d'agglomération; Membre de la Commission de la présidence du conseil; Membre de la Commission sur le transport et les travaux publics
",,"Côte-des-Neiges - Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","Projet Montréal - Équipe Valérie Plante",,,,,,"5160, boulevard Décarie","bureau 710","Montréal","Québec","H3X 2H9","514 868-4281",,"514 868-3327","peter.mcqueen@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/mzpa5o6h0v0pgekwhbeh.jpg","https://montreal.ca/elus/peter-mcqueen ","3,40"
"Francesco","MIELE","Monsieur","Conseiller de la ville; Leader adjoint de l'Opposition officielle; Vice-président de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs; Membre du conseil d'administration de la Société de transport de Montréal
",,"Saint-Laurent","Côte-de-Liesse","Ensemble Montréal",,,,,,"777, boulevard Marcel-Laurin ",,"Saint-Laurent","Québec","H4M 2M7","514 855-6000 p. 4043",,"514 855-6049","francesco.miele@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ohwfgw0cpg7pjeg6u8rc.jpg","https://montreal.ca/elus/francesco-miele ","14,10"
"Luis","MIRANDA","Monsieur","Maire d'arrondissement; Leader d'Équipe Anjou",,"Anjou",,"Équipe Anjou",,,,,,"7701 Boul Louis-H.-Lafontaine",,"Anjou","Québec","H1K 4B9 ","514-493-8010",,"514-493-8013","luis.miranda@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/m8gndqek3w2egulbl7mr.jpg","https://montreal.ca/elus/luis-miranda ","2,00"
"Suzie","MIRON","Madame","Conseillère de la ville; Conseillère associée; Présidente de la Commission de la présidence du conseil; Présidente du conseil municipal","Eau et infrastructures; Condition féminine","Mercier - Hochelaga-Maisonneuve","Tétreaultville","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","6854, rue Sherbrooke Est",,"Montréal","Québec","H1N 1E2",,"514 872-0154","514-868-7125","suzie.miron@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/haazd0n2rmhtakrkmoo6.jpg","https://montreal.ca/elus/suzie-miron ","7,10"
"Sue","MONTGOMERY","Madame","Mairesse d'arrondissement",,"Côte-des-Neiges - Notre-Dame-de-Grâce",,"Équipe Sue Montgomery","155, rue Notre-Dame Est",,,,,"5160, boulevard Décarie","bureau 710","Montréal","Québec","H3X 2H9","514 868-3523",,"514 868-3327","sue.montgomery@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ktify4gmymd2gyyc3gh1.jpg","https://montreal.ca/elus/sue-montgomery ","3,00"
"Jérôme","NORMAND","Monsieur","Conseiller de la ville; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs; Membre de la Communauté métropolitaine de Montréal; Membre de la Commission sur l'examen des contrats",,"Ahuntsic-Cartierville","Sault-au-Récollet","Projet Montréal - Équipe Valérie Plante",,,,,,"555, rue Chabanel Ouest","6e étage","Montréal","Québec","H2N 2H8","514 872-2246",,"514 868-3324","jerome.normand@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/tgteh7bngr3ntdugs6un.jpg","https://montreal.ca/elus/jerome-normand ","1,10"
"Alex","NORRIS","Monsieur","Conseiller de la ville; Conseiller associé; Président de la Commission de la sécurité publique
","Sécurité publique","Plateau-Mont-Royal","Jeanne-Mance","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","201, avenue Laurier Est ","5e étage","Montréal","Québec","H2T 3E6","514 872-8023; 514 868-5191","514 872-4138","514 868-4077","alex.norris@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ifnejwexzmpcmiwnpm5l.jpg","https://montreal.ca/elus/alex-norris ","11,30"
"Sylvain","OUELLET","Monsieur","Conseiller de la ville; Vice-président du comité exécutif; Membre du conseil d'agglomération; Membre de la Communauté métropolitaine de Montréal
","Eau; Infrastructures de l’eau; Infrastructures; Commission des services électriques","Villeray - Saint-Michel - Parc-Extension","François-Perrault","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","405, avenue Ogilvy","bureau 103","Montréal","Québec","H3N 1M3","514 872-7763","514 872-5258","514 872-2402","sylvain.ouellet@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/z2xfzfnnk5wbvff6rzed.jpg","https://montreal.ca/elus/sylvain-ouellet ","19,20"
"Laura","PALESTINI","Madame","Conseillère d'arrondissement
",,"LaSalle","Sault-Saint-Louis","Équipe LaSalle",,,,,,"55, avenue Dupras",,"LaSalle","Québec","H8R 4A8","514-367-6000, poste 6245",,"514 367-6600","laura-ann.palestini@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/yvuuf39jpaodjbaaragr.jpg","https://montreal.ca/elus/laura-palestini ","5,11"
"Marie-Josée","PARENT","Madame","Conseillère de la ville; Conseillère associée; Memebre de la Commission de la présidence du conseil","Culture","Verdun","Champlain—L'Île-des-Sœurs","Projet Montréal - Équipe Valérie Plante",,,,,,"4555, rue de Verdun",,"Verdun","Québec","H4G 1M4","514 765-7010",,"514 765-7013","marie-josee.parent@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ufokelf15ljm8opzfgqw.jpg","https://montreal.ca/elus/marie-josee-parent ","17,10"
"Jean-François","PARENTEAU","Monsieur","Maire d'arrondissement; Membre du comité exécutif
","Service aux citoyens; Environnement; Approvisionnement; Matériel roulant; Relations gouvernementales","Verdun",,"Indépendant","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","4555, rue de Verdun",,"Verdun","Québec","H4G 1M4","514 765-7008","514 872-0722","514 765-7013","jean-francois.parenteau@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/gmme5giykjynlia2xjna.jpg","https://montreal.ca/elus/jean-francois-parenteau ","17,00"
"Hadrien","PARIZEAU","Monsieur","Conseiller de la ville; Membre de la Commission sur le transport et les travaux publics;                ",,"Ahuntsic-Cartierville","Saint-Sulpice","Ensemble Montréal",,,,,,"555, rue Chabanel Ouest","6e étage","Montréal","Québec","H2N 2H8","514 872-2246",,"514 868-3324","hadrien.parizeau@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/giiekzyjeeatgqsotsag.jpg","https://montreal.ca/elus/hadrien-parizeau ","1,20"
"Valérie","PATREAU","Madame","Conseillère d'arrondissement; Présidente de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs",,"Outremont","Joseph-Beaubien","Projet Montréal - Équipe Valérie Plante",,,,,,"543, ch. de la Côte-Ste-Catherine",,"Outremont","Québec","H2V 4R2",,,"514 495-6290","valerie.patreau@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/aboefuidewqzwqr5id5u.jpg","https://montreal.ca/elus/valerie-patreau ","9,20"
"Jocelyn","PAUZÉ","Monsieur","Conseiller de la ville; Membre du conseil d'agglomération; Conseiller associé au comité exécutif;  ","Services aux citoyens; Gestion des chantiers; Sports et loisirs","Rosemont-La Petite-Patrie","Marie-Victorin","Projet Montréal - Équipe Valérie Plante",,,,,,"5650, rue D’Iberville","2e étage","Montréal","Québec","H2G 2B3","514 868-3931",,"514 868-3932","jocelyn.pauze@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/t6w6lcnm4ysjalx5pdzz.jpg","https://montreal.ca/elus/jocelyn-pauze ","13,40"
"Lionel","PEREZ","Monsieur","Conseiller de la ville; Chef de l'opposition officielle",,"Côte-des-Neiges - Notre-Dame-de-Grâce","Darlington","Ensemble Montréal",,,,,,"5160, boulevard Décarie","bureau 710","Montréal","Québec","H3X 2H9","514 872-4863",,"514 868-3327","lionel.perez@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ukx9rm1ruwignwxwymkv.jpg","https://montreal.ca/elus/lionel-perez ","3,10"
"Dominic","PERRI","Monsieur","Conseiller de la ville; Vice-président de la Commission sur le développement économique et urbain et l'habitation
",,"Saint-Léonard","Saint-Léonard-Ouest","Ensemble Montréal",,,,,,"8400, boulevard Lacordaire",,"Saint-Léonard","Québec","H1R 3B1","514 328-8410",,"514 328-8419","dominic.perri@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/t79afspftjbwopira0dy.jpg","https://montreal.ca/elus/dominic-perri ","15,20"
"Nathalie","PIERRE-ANTOINE","Madame","Conseillère d'arrondissement; 
Membre de la Commission sur l'inspecteur général",,"Rivière-des-Prairies - Pointe-aux-Trembles","Rivière-des-Prairies","Ensemble Montréal",,,,,,"12090, rue Notre-Dame Est",,"Montréal","Québec","H1B 2Z1","514-868-4052",,"514 868-4353","nathalie.pierre-antoine@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/wdxzpcrjdflrvsxtc1nb.jpg","https://montreal.ca/elus/nathalie-pierre-antoine ","12,31"
"Valérie","PLANTE","Madame","Mairesse de la Ville de Montréal; Mairesse de l'arrondissement de Ville-Marie; Membre du comité exécutif; Membre du conseil d'agglomération; Présidente du conseil d'administration de la Communauté métropolitaine de Montréal; Présidente du comité exécutif de la Communauté métropolitaine de Montréal","Le mont Royal; Centre-Ville; Relations internationales; Réconciliation","Ville-Marie",,"Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5",,,,,,,"514 872-3101",,"mairesse@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/vaul8inwolg5axbehf2b.jpg","https://montreal.ca/elus/valerie-plante ","0,00"
"Marie","PLOURDE","Madame","Conseillère d'arrondissement; Présidente de la Commission sur le transport et les travaux publics; Membre du conseil d'administration de la Société de transport de Montréal; Membre de la Commission sur les finances et l’administration",,"Plateau-Mont-Royal","Mile-End","Projet Montréal - Équipe Valérie Plante",,,,,,"201, avenue Laurier Est ","5e étage","Montréal","Québec","H2T 3E6","514 872-8023",,"514 868-4077","marie.plourde@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/rb0pitzvxwyfbg7lpoaw.jpg","https://montreal.ca/elus/marie-plourde ","11,11"
"Jean Marc","POIRIER","Monsieur","Conseiller d'arrondissement",,"Montréal-Nord","Marie-Clarac","Ensemble Montréal",,,,,,"4243, rue de Charleroi",,"Montréal-Nord ","Québec","H1H 5R5","514-328-4000 poste 5575",,"514-328-5577","jean-marc.poirier@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/hztwmob7vzrcnha8y4kc.jpg","https://montreal.ca/elus/jean-marc-poirier ","8,11"
"Mindy","POLLAK","Madame","Conseillère d'arrondissement; Membre de la Commission sur la culture, le patrimoine et les sports; Membre de la Commission sur le développement social et la diversité montréalaise; Membre de la Commission sur le transport et les travaux publics",,"Outremont","Claude-Ryan","Projet Montréal - Équipe Valérie Plante",,,,,,"543, ch. de la Côte-Ste-Catherine",,"Outremont","Québec","H2V 4R2","514 495-6230",,"514 495-6290","mindy.pollak@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/uodbl3gpzguzagxrkd46.jpg","https://montreal.ca/elus/mindy-pollak ","9,10"
"Magda","POPEANU","Madame","Conseillère de la ville; Vice-présidente du comité exécutif; Membre du conseil d'agglomération; Membre de la Communauté métropolitaine de Montréal
","Culture; Diversité montréalaise","Côte-des-Neiges - Notre-Dame-de-Grâce","Côte-des-Neiges","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","5160, boulevard Décarie","bureau 710","Montréal","Québec","H3X 2H9","514 872-2966","514 872-2430","514 868-3327","magda.popeanu@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/qcd0icam0jbdathphrw1.jpg","https://montreal.ca/elus/magda-popeanu ","3,20"
"Julie-Pascale","PROVOST","Madame","Conseillère d'arrondissement; ",,"Lachine","du Canal","Ensemble Montréal",,,,,,"1800, boulevard Saint-Joseph",,"Lachine","Québec","H8S 2N4","514-634-3471",,"514 634-8164","julie-pascale.provost@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/lyxadvdq5eg1fy7swkff.jpg","https://montreal.ca/elus/julie-pascale-provost ","4,10"
"Luc","RABOUIN","Monsieur","Maire d'arrondissement; Membre du Comité exécutif; Conseiller de la Ville","Développement économique et commercial; Design","Plateau-Mont-Royal",,"Projet Montréal - Équipe Valérie Plante",,,,,,"201, avenue Laurier Est","5e étage","Montréal","Québec","H2T 3E6","514 872-8023",,,"luc.rabouin@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/tjy8wsyhp9jcrhrybizn.jpg","https://montreal.ca/elus/luc-rabouin ","11,00"
"Giovanni","RAPANÀ","Monsieur","Conseiller de la ville; Membre de la Commission sur l'examen des contrats; Membre de la Communauté métrpolitaine de Montréal",,"Rivière-des-Prairies - Pointe-aux-Trembles","Rivière-des-Prairies","Ensemble Montréal",,,,,,"12090, rue Notre-Dame Est",,"Montréal","Québec","H1B 2Z1","514-868-5558",,"514 868-4353","giovanni.rapana@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/qqyl6uww0plobm5etcy8.jpg","https://montreal.ca/elus/giovanni-rapana ","12,30"
"Chantal","ROSSI","Madame","Conseillère de la ville; Membre de la Commission sur la culture, le patrimoine et les sports; Vice-présidentede la Commission de la présidence du conseil 
",,"Montréal-Nord","Ovide-Clermont","Ensemble Montréal",,,,,,"4243, rue de Charleroi",,"Montréal-Nord ","Québec","H1H 5R5","514-328-4000 poste 5573",,"514-328-5577","chantal.rossi@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/vji4rtfgg54ojxmbff4y.jpg","https://montreal.ca/elus/chantal-rossi ","8,20"
"Marvin","ROTRAND","Monsieur","Conseiller de la ville
",,"Côte-des-Neiges - Notre-Dame-de-Grâce","Snowdon","Ensemble Montréal",,,,,,"5160, boulevard Décarie","bureau 710","Montréal","Québec","H3X 2H9","514 868-3520; 514 872-4863",,"514 868-3327","marvin.rotrand@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/wrfxrs4cdqywpr93qbkt.jpg","https://montreal.ca/elus/marvin-rotrand ","3,30"
"Micheline","ROULEAU","Madame","Conseillère de la ville; Membre de la Commission sur l'examen des contrats",,"Lachine",,"Projet Montréal - Équipe Valérie Plante",,,,,,"1800, boulevard Saint-Joseph",,"Lachine","Québec","H8S 2N4","514-634-3471 poste 823",,"514 634-8164","micheline.rouleau@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/dcnjyoiap0a1efvn0e6d.jpg","https://montreal.ca/elus/micheline-rouleau ","12,00"
"Richard","RYAN","Monsieur","Conseiller de la ville; Conseiller désigné pour siéger au conseil d'arr. de Ville-Marie; Président de la Commission sur le développement économique et urbain et l'habitation
",,"Plateau-Mont-Royal","Mile-End","Projet Montréal - Équipe Valérie Plante",,,,,,"201, avenue Laurier Est ","5e étage","Montréal","Québec","H2T 3E6","514 872-8023; 514 868-5192",,"514 868-4077","richard.ryan@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/cfabhdoells4pji1ncvq.jpg","https://montreal.ca/elus/richard-ryan ","11,10"
"Aref","SALEM","Monsieur","Conseiller de la ville; Vice-président de la Commission sur le transport et les travaux publics; Membre de la Commission de la présidence du conseil
",,"Saint-Laurent","Norman-McLaren","Ensemble Montréal",,,,,,"777, boulevard Marcel-Laurin ",,"Saint-Laurent","Québec","H4M 2M7","514 855-6000 p. 4042",,"514 855-6049","aref.salem@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/coeagdu6bbemozwqvqcn.jpg","https://montreal.ca/elus/aref-salem ","14,20"
"Robert","SAMOSZEWSKI","Monsieur","Conseiller d'arrondissement; Membre de la Commission sur l'examen des contrats; Membre de la Commission sur l'inspecteur général",,"Ile-Bizard - Sainte-Geneviève","Jacques-Bizard","Mouvement Montréal",,,,,,"350, montée de l'Église",,"L'Île-Bizard ","Québec","H9C 1G9","514 620-6448",,"514 620-8198","robert.samoszewski@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/y9bnk0awempokjaq4qcu.jpg","https://montreal.ca/elus/robert-samoszewski ","6,30"
"Yves","SARAULT","Monsieur","Conseiller d'arrondissement; Membre de la Commission sur le développement économique et urbain et l'habitation; Membre de la Commission sur l'inspecteur général",,"Ile-Bizard - Sainte-Geneviève","Pierre-Foretier","Projet Montréal - Équipe Valérie Plante",,,,,,"350, montée de l'Église",,"L'Île-Bizard ","Québec","H9C 1G9","514 620-6448",,"514 620-8198","yves.sarault@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/q5nhjjqbkd2re0jcej4v.jpg","https://montreal.ca/elus/yves-sarault ","6,10"
"Abdelhaq","SARI","Monsieur","Conseiller de la ville; Vice-président de la Commission de la sécurité publique",,"Montréal-Nord","Marie-Clarac","Ensemble Montréal",,,,,,"4243, rue de Charleroi",,"Montréal-Nord ","Québec","H1H 5R5","514-328-4000 poste 5574",,"514-328-5577","abdelhaq.sari@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/pxnwryn4uycacy2gbl0v.jpg","https://montreal.ca/elus/abdelhaq-sari ","8,10"
"Craig","SAUVÉ","Monsieur","Conseiller de la ville; Conseiller associé; Vice-président de la Société de transport de Montréal
","Habitation","Sud-Ouest","Saint-Henri-Est-Petite-Bourgogne-Pointe-Saint-Charles-Griffintown","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","815, rue Bel-Air",,"Montréal","Québec","H4C 2K4","514-872-6814","514 872-4391","514 872-3705","craig.sauve@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/zjcxwqux4p6cwneeq4dr.jpg","https://montreal.ca/elus/craig-sauve ","16,10"
"Lynne","SHAND","Madame","Conseillère d'arrondissement",,"Anjou","Ouest","Indépendante",,,,,,"7701 Boul Louis-H.-Lafontaine",,"Anjou","Québec","H1K 4B9 ","514 493-8019",,"514 493-8013","lynne.shand@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/t5jxidkv8bdkktxeiyoa.jpg","https://montreal.ca/elus/lynne-shand ","2,10"
"Anne-Marie","SIGOUIN","Madame","Conseillère de la ville; Conseillère désignée pour siéger au conseil d'arr. de Ville-Marie; Présidente de la Commission sur la culture, le patrimoine et les sports
",,"Sud-Ouest","Saint-Paul-Émard-Saint-Henri-Ouest","Projet Montréal - Équipe Valérie Plante",,,,,,"815, rue Bel-Air",,"Montréal","Québec","H4C 2K4","514-872-6814",,"514 872-3705","anne-marie.sigouin@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/hqxlj0w241jzo0i7zb2y.jpg","https://montreal.ca/elus/anne-marie-sigouin ","16,20"
"Sophie","THIÉBAUT","Madame","Conseillère d'arrondissement;
Vice-Présidente de la Commission sur l'examen des contracts; Membre de la Commission sur le transport et les travaux publics",,"Sud-Ouest","Saint-Henri-Est-Petite-Bourgogne-Pointe-Saint-Charles-Griffintown","Projet Montréal - Équipe Valérie Plante",,,,,,"815, rue Bel-Air",,"Montréal","Québec","H4C 2K4","514-872-6814",,"514 872-3705","sophie-grabrielle.thiebaut@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ajncizfjbjfprz9r9b7k.jpg","https://montreal.ca/elus/sophie-thiebaut ","16,11"
"Émilie","THUILLIER","Madame","Mairesse d'arrondissement; Membre du comité exécutif
","Démocratie et transparence; Communications et expérience citoyenne; Patrimoine","Ahuntsic-Cartierville",,"Projet Montréal - Équipe Valérie Plante",,,,,,"555, rue Chabanel Ouest","6e étage","Montréal","Québec","H2N 2H8","514 872-2246",,"514 868-3324","emilie.thuillier@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/xgxsgrsqkpvjpa5ct0zx.jpg","https://montreal.ca/elus/emilie-thuillier ","1,00"
"Philipe","TOMLINSON","Monsieur","Maire d'arrondissement; Membre de la Commission sur le schéma d'aménagement et de développement de Montréal; Membre de la Commission sur les finances et l'administration",,"Outremont",,"Projet Montréal - Équipe Valérie Plante",,,,,,"543, ch. de la Côte-Ste-Catherine",,"Outremont","Québec","H2V 4R2","514 495-6220",,"514 495-6290","philipe.tomlinson@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/lnjrthl5nq7gwcuzhfwf.jpg","https://montreal.ca/elus/philipe-tomlinson ","9,00"
