Name;Date of Birth;Type of Parliamentarian;Riding/Senatorial Division;Province/Territory;Gender;Political Affiliation
Cummins, John Martin;1942-03-11;"MP (2004/06/28 - 2011/05/01)
MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)";"Delta--Richmond East (2004/06/28 - 2011/05/01)
Delta--South Richmond (1997/06/02 - 2004/06/27)
Delta (1993/10/25 - 1997/06/01)";"British Columbia
British Columbia
British Columbia";M;"Conservative Party of Canada (2003/12/23 - 2011/05/01)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Cuzner, Rodger;1955-11-03;"MP (2004/06/28 - 2019/10/20)
MP (2000/11/27 - 2004/06/27)";"Cape Breton--Canso (2004/06/28 - 2019/10/20)
Bras d'Or--Cape Breton (2000/11/27 - 2004/06/27)";"Nova Scotia
Nova Scotia";M;Liberal Party of Canada (2000/11/27 - 2019/10/20)
D'Amours, Jean-Claude;1972-12-18;MP (2004/06/28 - 2011/05/01);Madawaska--Restigouche (2004/06/28 - 2011/05/01);New Brunswick;M;Liberal Party of Canada (2004/06/28 - 2011/05/01)
Dallaire, Roméo A.;1946-06-24;Senator (2005/03/24 - 2014/06/17);Gulf (2005/03/24 - 2014/06/17);Quebec;M;Liberal Party of Canada (2005/03/24 - 2014/06/17)
Davidson, Patricia;1946-06-29;MP (2006/01/23 - 2015/10/18);Sarnia--Lambton (2006/01/23 - 2015/10/18);Ontario;F;Conservative Party of Canada (2006/01/23 - 2015/10/18)
Davies, Don;1963-01-15;MP (2008/10/14 - );Vancouver Kingsway (2008/10/14 - );British Columbia;M;New Democratic Party (2008/10/14 - )
Davies, Libby;1953-02-26;MP (1997/06/02 - 2015/10/18);Vancouver East (1997/06/02 - 2015/10/18);British Columbia;F;New Democratic Party (1997/06/02 - 2015/10/18)
Dawson, Dennis;1949-09-27;"MP (1977/05/24 - 1984/09/03)
Senator (2005/08/02 - )";"Lauzon (2005/08/02 - )
Louis-Hébert (1977/05/24 - 1984/09/03)";"Quebec
Quebec";M;"Non-affiliated (2019/11/18 - )
Progressive Senate Group (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2005/08/02 - 2019/11/13)
Liberal Party of Canada (1977/05/24 - 1984/09/03)"
Day, Joseph A.;1945-01-23;Senator (2001/10/04 - 2020/01/23);Saint John - Kennebecasis (2001/10/04 - 2020/01/23);New Brunswick;M;"Non-affiliated (2019/11/18 - 2020/01/23)
Progressive Senate Group (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2001/10/04 - 2019/11/13)"
Day, Stockwell Burt;1950-08-15;MP (2000/09/11 - 2011/05/01);Okanagan--Coquihalla (2000/09/11 - 2011/05/01);British Columbia;M;"Conservative Party of Canada (2003/12/23 - 2011/05/01)
Canadian Reform Conservative Alliance (2000/09/11 - 2003/12/22)"
De Bané, Pierre;1938-08-01;"MP (1979/05/22 - 1984/06/28)
MP (1968/06/25 - 1979/05/21)
Senator (1984/06/29 - 2013/08/02)";"De la Vallière (1984/06/29 - 2013/08/02)
Matapédia--Matane (1979/05/22 - 1984/06/28)
Matane (1968/06/25 - 1979/05/21)";"Quebec
Quebec
Quebec";M;Liberal Party of Canada (1968/06/25 - 2013/08/02)
DeBellefeuille, Claude;1963-12-12;"MP (2019/10/21 - )
MP (2006/01/23 - 2011/05/01)";"Salaberry--Suroît (2019/10/21 - )
Beauharnois--Salaberry (2006/01/23 - 2011/05/01)";"Quebec
Quebec";F;"Bloc Québécois (2019/10/21 - )
Bloc Québécois (2006/01/23 - 2011/05/01)"
Dechert, Bob;1958-05-17;MP (2008/10/14 - 2015/10/18);Mississauga--Erindale (2008/10/14 - 2015/10/18);Ontario;M;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Del Mastro, Dean;1970-08-15;MP (2006/01/23 - 2014/11/05);Peterborough (2006/01/23 - 2014/11/05);Ontario;M;"Independent Conservative (2013/09/30 - 2014/11/05)
Conservative Party of Canada (2006/01/23 - 2013/09/29)"
Demers, Jacques;1944-08-24;Senator (2009/08/27 - 2019/08/24);Rigaud (2009/08/27 - 2019/08/24);Quebec;M;"Independent Senators Group (2017/06/01 - 2019/08/24)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2015/12/03 - 2016/06/12)
Conservative Party of Canada (2009/08/27 - 2015/12/02)"
Demers, Nicole;1950-01-14;MP (2004/06/28 - 2011/05/01);Laval (2004/06/28 - 2011/05/01);Quebec;F;Bloc Québécois (2004/06/28 - 2011/05/01)
Deschamps, Johanne;1959-04-01;MP (2004/06/28 - 2011/05/01);Laurentides--Labelle (2004/06/28 - 2011/05/01);Quebec;F;Bloc Québécois (2004/06/28 - 2011/05/01)
Desnoyers, Luc;1950-10-01;MP (2008/10/14 - 2011/05/01);Rivière-des-Mille-Îles (2008/10/14 - 2011/05/01);Quebec;M;Bloc Québécois (2008/10/14 - 2011/05/01)
Devolin, Barry;1963-03-09;MP (2004/06/28 - 2015/10/18);Haliburton--Kawartha Lakes--Brock (2004/06/28 - 2015/10/18);Ontario;M;Conservative Party of Canada (2004/06/28 - 2015/10/18)
Dewar, Paul;1963-01-24;MP (2006/01/23 - 2015/10/18);Ottawa Centre (2006/01/23 - 2015/10/18);Ontario;M;New Democratic Party (2006/01/23 - 2015/10/18)
Dhaliwal, Sukh;1960-09-30;"MP (2015/10/19 - )
MP (2006/01/23 - 2011/05/01)";"Surrey--Newton (2015/10/19 - )
Newton--North Delta (2006/01/23 - 2011/05/01)";"British Columbia
British Columbia";M;"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2006/01/23 - 2011/05/01)"
Dhalla, Ruby;1974-02-17;MP (2004/06/28 - 2011/05/01);Brampton--Springdale (2004/06/28 - 2011/05/01);Ontario;F;Liberal Party of Canada (2004/06/28 - 2011/05/01)
Di Nino, Consiglio;1938-01-23;Senator (1990/08/30 - 2012/06/30);Ontario (1990/08/30 - 2012/06/30);Ontario;M;"Conservative Party of Canada (2004/02/02 - 2012/06/30)
Progressive Conservative Party (1990/08/30 - 2004/02/01)"
Dickson, Fred;1937-07-03;Senator (2009/01/02 - 2012/02/09);Nova Scotia (2009/01/02 - 2012/02/09);Nova Scotia;M;Conservative Party of Canada (2009/01/02 - 2012/02/09)
Dion, Stéphane;1955-09-27;"MP (2015/10/19 - 2017/02/06)
MP (1996/03/25 - 2015/10/18)";"Saint-Laurent (2015/10/19 - 2017/02/06)
Saint-Laurent--Cartierville (1996/03/25 - 2015/10/18)";"Quebec
Quebec";M;Liberal Party of Canada (1996/03/25 - 2017/02/06)
Donnelly, Fin;1966-05-26;"MP (2015/10/19 - 2019/10/20)
MP (2009/11/09 - 2015/10/18)";"Port Moody--Coquitlam (2015/10/19 - 2019/10/20)
New Westminster--Coquitlam (2009/11/09 - 2015/10/18)";"British Columbia
British Columbia";M;New Democratic Party (2009/11/09 - 2019/10/20)
Dorion, Jean;1942-08-16;MP (2008/10/14 - 2011/05/01);Longueuil--Pierre-Boucher (2008/10/14 - 2011/05/01);Quebec;M;Bloc Québécois (2008/10/14 - 2011/05/01)
Dosanjh, Ujjal;1947-09-08;MP (2004/06/28 - 2011/05/01);Vancouver South (2004/06/28 - 2011/05/01);British Columbia;M;Liberal Party of Canada (2004/06/28 - 2011/05/01)
Downe, Percy E.;1954-07-07;Senator (2003/06/26 - );Charlottetown (2003/06/26 - );Prince Edward Island;M;"Canadian Senators Group (2019/11/18 - )
Progressive Senate Group (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2003/06/26 - 2019/11/13)"
Dreeshen, Earl;1953-07-08;"MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)";"Red Deer--Mountain View (2015/10/19 - )
Red Deer (2008/10/14 - 2015/10/18)";"Alberta
Alberta";M;Conservative Party of Canada (2008/10/14 - )
Dryden, Ken;1947-08-07;MP (2004/06/28 - 2011/05/01);York Centre (2004/06/28 - 2011/05/01);Ontario;M;Liberal Party of Canada (2004/06/28 - 2011/05/01)
Duceppe, Gilles;1947-07-21;"MP (2004/09/01 - 2011/05/01)
MP (1990/08/13 - 2004/06/27)";"Laurier--Sainte-Marie (2004/09/01 - 2011/05/01)
Laurier--Sainte-Marie (1990/08/13 - 2004/06/27)";"Quebec
Quebec";M;"Bloc Québécois (1990/12/19 - 2011/05/01)
Independent (1990/08/13 - 1990/12/18)"
Duffy, Michael;1946-05-26;Senator (2009/01/02 - );Prince Edward Island (2009/01/02 - );Prince Edward Island;M;"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2013/05/16 - 2016/06/12)
Conservative Party of Canada (2009/01/02 - 2013/05/15)"
Dufour, Nicolas;1987-05-31;MP (2008/10/14 - 2011/05/01);Repentigny (2008/10/14 - 2011/05/01);Quebec;M;Bloc Québécois (2008/10/14 - 2011/05/01)
Duncan, John;1948-12-18;"MP (2008/10/14 - 2015/10/18)
MP (1997/06/02 - 2006/01/22)
MP (1993/10/25 - 1997/06/01)";"Vancouver Island North (2008/10/14 - 2015/10/18)
Vancouver Island North (1997/06/02 - 2006/01/22)
North Island--Powell River (1993/10/25 - 1997/06/01)";"British Columbia
British Columbia
British Columbia";M;"Conservative Party of Canada (2008/10/14 - 2015/10/18)
Conservative Party of Canada (2003/12/23 - 2006/01/22)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Duncan, Kirsty;1966-10-30;MP (2008/10/14 - );Etobicoke North (2008/10/14 - );Ontario;F;Liberal Party of Canada (2008/10/14 - )
Duncan, Linda Francis;1949-06-24;"MP (2015/10/19 - 2019/10/20)
MP (2008/10/14 - 2015/10/18)";"Edmonton Strathcona (2015/10/19 - 2019/10/20)
Edmonton--Strathcona (2008/10/14 - 2015/10/18)";"Alberta
Alberta";F;New Democratic Party (2008/10/14 - 2019/10/20)
Dyck, Lillian Eva;1945-08-23;Senator (2005/03/24 - );Saskatchewan (2005/03/24 - );Saskatchewan;F;"Non-affiliated (2019/11/18 - )
Progressive Senate Group (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2009/01/15 - 2019/11/13)
Independent New Democratic Party (2006/10/31 - 2009/01/14)
New Democratic Party (2005/03/24 - 2006/10/30)"
Dykstra, Richard;1966-04-09;MP (2006/01/23 - 2015/10/18);St. Catharines (2006/01/23 - 2015/10/18);Ontario;M;Conservative Party of Canada (2006/01/23 - 2015/10/18)
Easter, Wayne;1949-06-21;MP (1993/10/25 - );Malpeque (1993/10/25 - );Prince Edward Island;M;Liberal Party of Canada (1993/10/25 - )
Eaton, Nicole;1945-01-20;Senator (2009/01/02 - 2020/01/20);Ontario (2009/01/02 - 2020/01/20);Ontario;F;Conservative Party of Canada (2009/01/02 - 2020/01/20)
Eggleton, Art;1943-09-28;"MP (1993/10/25 - 2004/06/27)
Senator (2005/03/24 - 2018/09/28)";"Toronto (2016/09/09 - 2018/09/28)
Ontario (2005/03/24 - 2016/09/08)
York Centre (1993/10/25 - 2004/06/27)";"Ontario
Ontario
Ontario";M;"Liberal Party of Canada (2005/03/24 - 2018/09/28)
Liberal Party of Canada (1993/10/25 - 2004/06/27)"
Eyking, Mark;1960-08-29;MP (2000/11/27 - 2019/10/20);Sydney--Victoria (2000/11/27 - 2019/10/20);Nova Scotia;M;Liberal Party of Canada (2000/11/27 - 2019/10/20)
Eyton, John Trevor;1934-07-11;Senator (1990/09/23 - 2009/07/12);Ontario (1990/09/23 - 2009/07/12);Ontario;M;"Conservative Party of Canada (2004/02/02 - 2009/07/12)
Progressive Conservative Party (1990/09/23 - 2004/02/01)"
Faille, Meili;1972-06-17;MP (2004/06/28 - 2011/05/01);Vaudreuil--Soulanges (2004/06/28 - 2011/05/01);Quebec;F;Bloc Québécois (2004/06/28 - 2011/05/01)
Fairbairn, Joyce;1939-11-05;Senator (1984/06/29 - 2013/01/18);Lethbridge (1984/06/29 - 2013/01/18);Alberta;F;Liberal Party of Canada (1984/06/29 - 2013/01/18)
Fantino, Julian;1942-08-12;MP (2010/11/29 - 2015/10/18);Vaughan (2010/11/29 - 2015/10/18);Ontario;M;Conservative Party of Canada (2010/11/29 - 2015/10/18)
Fast, Edward;1955-06-17;MP (2006/01/23 - );Abbotsford (2006/01/23 - );British Columbia;M;Conservative Party of Canada (2006/01/23 - )
Finley, Diane;1957-10-02;MP (2004/06/28 - );Haldimand--Norfolk (2004/06/28 - );Ontario;F;Conservative Party of Canada (2004/06/28 - )
Finley, Doug;1946-07-24;Senator (2009/08/27 - 2013/05/11);Ontario - South Coast (2009/08/27 - 2013/05/11);Ontario;M;Conservative Party of Canada (2009/08/27 - 2013/05/11)
Flaherty, James Michael (Jim);1949-12-29;MP (2006/01/23 - 2014/04/10);Whitby--Oshawa (2006/01/23 - 2014/04/10);Ontario;M;Conservative Party of Canada (2006/01/23 - 2014/04/10)
Fletcher, Steven John;1972-06-16;"MP (2004/09/01 - 2015/10/18)
MP (2004/06/28 - 2004/08/31)";"Charleswood--St. James--Assiniboia (2004/09/01 - 2015/10/18)
Charleswood--St. James (2004/06/28 - 2004/08/31)";"Manitoba
Manitoba";M;Conservative Party of Canada (2004/06/28 - 2015/10/18)
Folco, Raymonde;1940-03-15;"MP (2004/06/28 - 2011/05/01)
MP (1997/06/02 - 2004/06/27)";"Laval--Les Îles (2004/06/28 - 2011/05/01)
Laval West (1997/06/02 - 2004/06/27)";"Quebec
Quebec";F;Liberal Party of Canada (1997/06/02 - 2011/05/01)
Foote, Judy;1952-06-22;"MP (2015/10/19 - 2017/09/30)
MP (2008/10/14 - 2015/10/18)";"Bonavista--Burin--Trinity (2015/10/19 - 2017/09/30)
Random--Burin--St. George's (2008/10/14 - 2015/10/18)";"Newfoundland and Labrador
Newfoundland and Labrador";F;Liberal Party of Canada (2008/10/14 - 2017/09/30)
Fortin-Duplessis, Suzanne;1940-06-29;"MP (1984/09/04 - 1993/10/24)
Senator (2009/01/14 - 2015/06/30)";"Rougemont (2009/01/14 - 2015/06/30)
Louis-Hébert (1984/09/04 - 1993/10/24)";"Quebec
Quebec";F;"Conservative Party of Canada (2009/01/14 - 2015/06/30)
Progressive Conservative Party (1984/09/04 - 1993/10/24)"
Fox, Francis;1939-12-01;"MP (1979/05/22 - 1984/09/03)
MP (1972/10/30 - 1979/05/21)
Senator (2005/08/29 - 2011/12/02)";"Victoria (2005/08/29 - 2011/12/02)
Blainville--Deux-Montagnes (1979/05/22 - 1984/09/03)
Argenteuil--Deux-Montagnes (1972/10/30 - 1979/05/21)";"Quebec
Quebec
Quebec";M;"Liberal Party of Canada (2005/08/29 - 2011/12/02)
Liberal Party of Canada (1972/10/30 - 1984/09/03)"
Fraser, Joan;1944-10-11;Senator (1998/09/17 - 2018/02/02);De Lorimier (1998/09/17 - 2018/02/02);Quebec;F;Liberal Party of Canada (1998/09/17 - 2018/02/02)
Freeman, Carole;1949-01-09;MP (2006/01/23 - 2011/05/01);Châteauguay--Saint-Constant (2006/01/23 - 2011/05/01);Quebec;F;Bloc Québécois (2006/01/23 - 2011/05/01)
Frum, Linda;1963-01-12;Senator (2009/08/27 - );Ontario (2009/08/27 - );Ontario;F;Conservative Party of Canada (2009/08/27 - )
Fry, Hedy;1941-08-05;MP (1993/10/25 - );Vancouver Centre (1993/10/25 - );British Columbia;F;Liberal Party of Canada (1993/10/25 - )
Furey, George J.;1948-05-11;Senator (1999/08/11 - );Newfoundland and Labrador (1999/08/11 - );Newfoundland and Labrador;M;"Non-affiliated (2016/06/13 - )
Independent (2015/12/07 - 2016/06/12)
Liberal Party of Canada (1999/08/11 - 2015/12/06)"
Gagnon, Christiane;1948-04-15;MP (1993/10/25 - 2011/05/01);Québec (1993/10/25 - 2011/05/01);Quebec;F;Bloc Québécois (1993/10/25 - 2011/05/01)
Galipeau, Joseph Bernard Royal Neil;1947-01-04;MP (2006/01/23 - 2015/10/18);Ottawa--Orléans (2006/01/23 - 2015/10/18);Ontario;M;Conservative Party of Canada (2006/01/23 - 2015/10/18)
Gallant, Cheryl;1960-05-22;MP (2000/11/27 - );Renfrew--Nipissing--Pembroke (2000/11/27 - );Ontario;F;"Conservative Party of Canada (2003/12/23 - )
Canadian Reform Conservative Alliance (2000/11/27 - 2003/12/22)"
Garneau, Marc;1949-02-22;"MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)";"Notre-Dame-de-Grâce--Westmount (2015/10/19 - )
Westmount--Ville-Marie (2008/10/14 - 2015/10/18)";"Quebec
Quebec";M;Liberal Party of Canada (2008/10/14 - )
Gaudet, Roger;1945-05-25;"MP (2004/06/28 - 2011/05/01)
MP (2002/12/09 - 2004/06/27)";"Montcalm (2004/06/28 - 2011/05/01)
Berthier--Montcalm (2002/12/09 - 2004/06/27)";"Quebec
Quebec";M;Bloc Québécois (2002/12/09 - 2011/05/01)
Généreux, Bernard;1962-04-22;"MP (2015/10/19 - )
MP (2009/11/09 - 2011/05/01)";"Montmagny--L’Islet--Kamouraska--Rivière-du-Loup (2015/10/19 - )
Montmagny--L’Islet--Kamouraska--Rivière-du-Loup (2009/11/09 - 2011/05/01)";"Quebec
Quebec";M;"Conservative Party of Canada (2015/10/19 - )
Conservative Party of Canada (2009/11/09 - 2011/05/01)"
Gerstein, Irving;1941-02-09;Senator (2009/01/02 - 2016/02/10);Ontario (2009/01/02 - 2016/02/10);Ontario;M;Conservative Party of Canada (2009/01/02 - 2016/02/10)
Glover, Shelly;1967-01-01;MP (2008/10/14 - 2015/10/18);Saint Boniface (2008/10/14 - 2015/10/18);Manitoba;F;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Godin, Yvon;1955-05-11;MP (1997/06/02 - 2015/10/18);Acadie--Bathurst (1997/06/02 - 2015/10/18);New Brunswick;M;New Democratic Party (1997/06/02 - 2015/10/18)
Goldring, Peter;1944-12-11;"MP (2004/06/28 - 2015/10/18)
MP (2000/06/29 - 2004/06/27)
MP (1997/06/02 - 2000/06/28)";"Edmonton East (2004/06/28 - 2015/10/18)
Edmonton Centre-East (2000/06/29 - 2004/06/27)
Edmonton East (1997/06/02 - 2000/06/28)";"Alberta
Alberta
Alberta";M;"Conservative Party of Canada (2013/06/10 - 2015/10/18)
Independent Conservative (2011/12/05 - 2013/06/09)
Conservative Party of Canada (2003/12/23 - 2011/12/04)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1997/06/02 - 2000/03/26)"
Goldstein, Yoine;1934-05-10;Senator (2005/08/29 - 2009/05/11);Rigaud (2005/08/29 - 2009/05/11);Quebec;M;Liberal Party of Canada (2005/08/29 - 2009/05/11)
Goodale, Ralph;1949-10-04;"MP (2015/10/19 - 2019/10/20)
MP (1997/06/02 - 2015/10/18)
MP (1993/10/25 - 1997/06/01)
MP (1974/07/08 - 1979/05/21)";"Regina--Wascana (2015/10/19 - 2019/10/20)
Wascana (1997/06/02 - 2015/10/18)
Regina--Wascana (1993/10/25 - 1997/06/01)
Assiniboia (1974/07/08 - 1979/05/21)";"Saskatchewan
Saskatchewan
Saskatchewan
Saskatchewan";M;"Liberal Party of Canada (1993/10/25 - 2019/10/20)
Liberal Party of Canada (1974/07/08 - 1979/05/21)"
Goodyear, Gary;1958-03-09;MP (2004/06/28 - 2015/10/18);Cambridge (2004/06/28 - 2015/10/18);Ontario;M;Conservative Party of Canada (2004/06/28 - 2015/10/18)
Gourde, Jacques;1964-01-12;"MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)";"Lévis--Lotbinière (2015/10/19 - )
Lotbinière--Chutes-de-la-Chaudière (2006/01/23 - 2015/10/18)";"Quebec
Quebec";M;Conservative Party of Canada (2006/01/23 - )
Grafstein, Jerahmiel S.;1935-01-01;Senator (1984/01/13 - 2010/01/02);Metro Toronto (1984/01/13 - 2010/01/02);Ontario;M;Liberal Party of Canada (1984/01/13 - 2010/01/02)
Gravelle, Claude;1949-10-25;MP (2008/10/14 - 2015/10/18);Nickel Belt (2008/10/14 - 2015/10/18);Ontario;M;New Democratic Party (2008/10/14 - 2015/10/18)
Greene, Stephen;1949-12-07;Senator (2009/01/02 - );Halifax - The Citadel (2009/01/02 - );Nova Scotia;M;"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/10/24 - 2019/11/03)
Non-affiliated (2017/06/01 - 2017/10/23)
Non-affiliated (Independent Reform) (2017/05/16 - 2017/05/31)
Conservative Party of Canada (2009/01/02 - 2017/05/15)"
Grewal, Nina;1958-10-19;MP (2004/06/28 - 2015/10/18);Fleetwood--Port Kells (2004/06/28 - 2015/10/18);British Columbia;F;Conservative Party of Canada (2004/06/28 - 2015/10/18)
Guarnieri, Albina;1953-06-22;"MP (2004/06/28 - 2011/05/01)
MP (1988/11/21 - 2004/06/27)";"Mississauga East--Cooksville (2004/06/28 - 2011/05/01)
Mississauga East (1988/11/21 - 2004/06/27)";"Ontario
Ontario";F;Liberal Party of Canada (1988/11/21 - 2011/05/01)
Guay, Monique;1959-10-26;"MP (2004/06/28 - 2011/05/01)
MP (1993/10/25 - 2004/06/27)";"Rivière-du-Nord (2004/06/28 - 2011/05/01)
Laurentides (1993/10/25 - 2004/06/27)";"Quebec
Quebec";F;Bloc Québécois (1993/10/25 - 2011/05/01)
Guergis, Helena;1969-02-18;MP (2004/06/28 - 2011/05/01);Simcoe--Grey (2004/06/28 - 2011/05/01);Ontario;F;"Independent Conservative (2010/04/09 - 2011/05/01)
Conservative Party of Canada (2004/06/28 - 2010/04/08)"
Guimond, Claude;1963-08-03;MP (2008/10/14 - 2011/05/01);Rimouski-Neigette--Témiscouata--Les Basques (2008/10/14 - 2011/05/01);Quebec;M;Bloc Québécois (2008/10/14 - 2011/05/01)
Guimond, Michel;1953-12-25;"MP (2004/09/01 - 2011/05/01)
MP (2004/06/28 - 2004/08/31)
MP (1998/06/18 - 2004/06/27)
MP (1993/10/25 - 1998/06/17)";"Montmorency--Charlevoix--Haute-Côte-Nord (2004/09/01 - 2011/05/01)
Charlevoix--Montmorency (2004/06/28 - 2004/08/31)
Beauport--Montmorency--Côte-de-Beaupré--Île-d'Orléans (1998/06/18 - 2004/06/27)
Beauport--Montmorency--Orléans (1993/10/25 - 1998/06/17)";"Quebec
Quebec
Quebec
Quebec";M;Bloc Québécois (1993/10/25 - 2011/05/01)
Hall Findlay, Martha;1959-08-16;MP (2008/03/17 - 2011/05/01);Willowdale (2008/03/17 - 2011/05/01);Ontario;F;Liberal Party of Canada (2008/03/17 - 2011/05/01)
Harb, Mac;1953-11-09;"MP (1988/11/21 - 2003/09/08)
Senator (2003/09/09 - 2013/08/26)";"Ontario (2003/09/09 - 2013/08/26)
Ottawa Centre (1988/11/21 - 2003/09/08)";"Ontario
Ontario";M;"Independent (2013/05/10 - 2013/08/26)
Liberal Party of Canada (1988/11/21 - 2013/05/09)"
Harper, Stephen;1959-04-29;"MP (2015/10/19 - 2016/08/26)
MP (2002/05/13 - 2015/10/18)
MP (1993/10/25 - 1997/01/14)";"Calgary Heritage (2015/10/19 - 2016/08/26)
Calgary Southwest (2002/05/13 - 2015/10/18)
Calgary West (1993/10/25 - 1997/01/14)";"Alberta
Alberta
Alberta";M;"Conservative Party of Canada (2003/12/23 - 2016/08/26)
Canadian Reform Conservative Alliance (2002/05/13 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 1997/01/14)"
Harris, Jack;1948-10-26;"MP (2019/10/21 - )
MP (2008/10/14 - 2015/10/18)
MP (1987/07/20 - 1988/11/20)";"St. John's East (2019/10/21 - )
St. John's East (2008/10/14 - 2015/10/18)
St. John's East (1987/07/20 - 1988/11/20)";"Newfoundland and Labrador
Newfoundland and Labrador
Newfoundland and Labrador";M;"New Democratic Party (2019/10/21 - )
New Democratic Party (2008/10/14 - 2015/10/18)
New Democratic Party (1987/07/20 - 1988/11/20)"
Harris, Richard M.;1944-09-05;"MP (2004/06/28 - 2015/10/18)
MP (1993/10/25 - 2004/06/27)";"Cariboo--Prince George (2004/06/28 - 2015/10/18)
Prince George--Bulkley Valley (1993/10/25 - 2004/06/27)";"British Columbia
British Columbia";M;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Hawn, Laurie;1947-05-10;MP (2006/01/23 - 2015/10/18);Edmonton Centre (2006/01/23 - 2015/10/18);Alberta;M;Conservative Party of Canada (2006/01/23 - 2015/10/18)
Hervieux-Payette, Céline;1941-04-21;"MP (1979/05/22 - 1984/09/03)
Senator (1995/03/21 - 2016/04/22)";"Bedford (1995/03/21 - 2016/04/22)
Mercier (1979/05/22 - 1984/09/03)";"Quebec
Quebec";F;"Liberal Party of Canada (1995/03/21 - 2016/04/22)
Liberal Party of Canada (1979/05/22 - 1984/09/03)"
Hiebert, Russ;1969-02-07;MP (2004/06/28 - 2015/10/18);South Surrey--White Rock--Cloverdale (2004/06/28 - 2015/10/18);British Columbia;M;Conservative Party of Canada (2004/06/28 - 2015/10/27)
Hill, Jay D.;1952-12-26;MP (1993/10/25 - 2010/10/25);Prince George--Peace River (1993/10/25 - 2010/10/25);British Columbia;M;"Conservative Party of Canada (2003/12/23 - 2010/10/25)
Canadian Reform Conservative Alliance (2002/04/16 - 2003/12/22)
Independent (2002/04/10 - 2002/04/15)
Canadian Reform Conservative Alliance (2000/03/27 - 2002/04/09)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Hoback, Randy;1967-12-18;MP (2008/10/14 - );Prince Albert (2008/10/14 - );Saskatchewan;M;Conservative Party of Canada (2008/10/14 - )
Holder, Ed;1954-07-13;MP (2008/10/14 - 2015/10/18);London West (2008/10/14 - 2015/10/18);Ontario;M;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Holland, Mark;1974-10-15;"MP (2015/10/19 - )
MP (2004/06/28 - 2011/05/01)";"Ajax (2015/10/19 - )
Ajax--Pickering (2004/06/28 - 2011/05/01)";"Ontario
Ontario";M;"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2004/06/28 - 2011/05/01)"
Housakos, Leo;1968-01-09;Senator (2009/01/08 - );Wellington (2009/01/08 - );Quebec;M;Conservative Party of Canada (2009/01/08 - )
Hubley, Elizabeth;1942-09-07;Senator (2001/03/08 - 2017/09/07);Prince Edward Island (2001/03/08 - 2017/09/07);Prince Edward Island;F;Liberal Party of Canada (2001/03/08 - 2017/09/07)
Hughes, Carol;1958-11-25;MP (2008/10/14 - );Algoma--Manitoulin--Kapuskasing (2008/10/14 - );Ontario;F;New Democratic Party (2008/10/14 - )
Hyer, Bruce;1946-08-05;MP (2008/10/14 - 2015/10/18);Thunder Bay--Superior North (2008/10/14 - 2015/10/18);Ontario;M;"Green Party of Canada (2013/12/13 - 2015/10/18)
Independent (2012/04/23 - 2013/12/12)
New Democratic Party (2008/10/14 - 2012/04/22)"
Ignatieff, Michael;1947-05-11;MP (2006/01/23 - 2011/05/01);Etobicoke--Lakeshore (2006/01/23 - 2011/05/01);Ontario;M;Liberal Party of Canada (2006/01/23 - 2011/05/01)
Jaffer, Mobina S.B.;1949-08-19;Senator (2001/06/13 - );British Columbia (2001/06/13 - );British Columbia;F;"Independent Senators Group (2019/06/12 - )
Non-affiliated (2018/12/19 - 2019/06/11)
Liberal Party of Canada (2001/06/13 - 2018/12/18)"
